threads,iterations,counter_targets,execution_time_ms,success
1,1000,32000,1154,True
1,1000,64000,2205,True
1,1000,96000,3289,True
1,1000,128000,4339,True
1,1000,160000,5361,True
2,1000,32000,2962,True
2,1000,64000,5375,True
2,1000,96000,8937,True
2,1000,128000,10527,True
2,1000,160000,14462,True
4,1000,32000,10204,True
4,1000,64000,18956,True
4,1000,96000,30324,True
4,1000,128000,39853,True
4,1000,160000,46296,True
8,1000,32000,9086,True
8,1000,64000,18034,True
8,1000,96000,27233,True
8,1000,128000,30991,True
8,1000,160000,35490,True
16,1000,32000,7088,True
16,1000,64000,14216,True
16,1000,96000,22608,True
16,1000,128000,24641,True
16,1000,160000,35114,True
