threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,612,True
1,1000,60,140,30.0,991,602,True
1,1000,100,100,50.0,991,602,True
1,1000,140,60,70.0,991,603,True
1,1000,180,20,90.0,991,601,True
2,1000,20,180,10.0,991,632,True
2,1000,60,140,30.0,991,624,True
2,1000,100,100,50.0,991,632,True
2,1000,140,60,70.0,991,971,True
2,1000,180,20,90.0,991,1218,True
4,1000,20,180,10.0,991,1191,True
4,1000,60,140,30.0,991,1231,True
4,1000,100,100,50.0,991,1710,True
4,1000,140,60,70.0,991,2103,True
4,1000,180,20,90.0,991,2444,True
8,1000,20,180,10.0,991,2402,True
8,1000,60,140,30.0,991,2506,True
8,1000,100,100,50.0,991,3508,True
8,1000,140,60,70.0,991,4390,True
8,1000,180,20,90.0,991,4902,True
16,1000,20,180,10.0,991,5007,True
16,1000,60,140,30.0,991,6019,True
16,1000,100,100,50.0,991,7195,True
16,1000,140,60,70.0,991,8875,True
16,1000,180,20,90.0,991,10196,True
